id,season_id,team_id,discord_id,team_name,off_yds,updated_at,off_tds,def_pass_yds,def_rush_yds,def_tds,wins,losses,off_pass_yds,off_rush_yds,off_redzone_pct,def_redzone_pct,def_fumbles_rec,off_pts_per_game,team_sacks,team_ints,turnover_diff,ties,pts_for,pts_against,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,conf_wins,conf_losses,conf_ties,div_wins,div_losses,div_ties,cap_room,cap_spent,cap_available,seed,rank,prev_rank,playoff_status,win_pct,win_loss_streak,net_pts,off_total_yds,def_total_yds,off_pass_yds_rank,off_rush_yds_rank,off_total_yds_rank,def_pass_yds_rank,def_rush_yds_rank,def_total_yds_rank,pts_for_rank,pts_against_rank
4888,15,775553046,,New York Jets,283,2026-05-20 17:36:33.906,0,132,103,0,1,0,173,110,100,100,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4894,15,775553038,1037174918896439327,Dallas Cowboys,381,2026-05-20 17:36:33.909,0,240,80,0,1,0,273,108,66.6667,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4895,15,775553035,,Kansas City Chiefs,400,2026-05-20 17:36:33.909,0,220,61,0,1,0,245,155,40,100,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4898,15,775553025,1477612223663706185,Chicago Bears,396,2026-05-20 17:36:33.909,0,204,64,0,1,0,300,96,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4906,15,775553047,1422323774224732280,Detroit Lions,415,2026-05-20 17:36:33.91,0,160,48,0,1,0,266,149,100,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4908,15,775553056,,Seattle Seahawks,194,2026-05-20 17:36:33.91,0,205,101,0,0,1,121,73,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4889,15,775553058,1361823949847007294,Houston Texans,377,2026-05-20 17:36:33.906,0,386,37,0,1,0,201,176,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4901,15,775553049,1265890423986192416,Green Bay Pack,268,2026-05-20 17:36:33.909,0,300,96,0,0,1,204,64,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4913,15,775553045,838230365252485120,Jacksonville Jags,235,2026-05-20 17:36:33.911,0,241,135,0,0,1,197,38,0,83.3333,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4915,15,775553037,954239175400488990,Washington Commanders,488,2026-05-20 17:36:33.911,0,470,390,0,0,1,421,67,33.3333,35.7143,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4890,15,775553027,,Buffalo Bills,423,2026-05-20 17:36:33.908,0,201,176,0,0,1,386,37,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4899,15,775553031,,Arizona Cardinals,244,2026-05-20 17:36:33.909,0,231,84,0,0,1,158,86,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4907,15,775553053,,Los Angeles Rams,306,2026-05-20 17:36:33.91,0,121,73,0,1,0,205,101,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
4916,15,775553054,521551549873258506,Baltimore Ravens,860,2026-05-20 17:36:33.911,0,421,67,0,1,0,470,390,35.7143,33.3333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,
